review_text,rating,author,date,nama desa wisata,provinsi
Keren,5,Sanusi uye,2021-03-09T10:29:18.472Z,Danau Emtofe,Papua
The Scenery is wow,5,Stephen Ruhupatty,2021-02-09T22:54:18.248Z,Danau Emtofe,Papua
Danaunya unik berbentuk love dengan padang rumput hijau,4,cresen sia,2021-01-20T01:44:46.787Z,Danau Emtofe,Papua
👍⭐⭐⭐⭐⭐🎉,5,Namaku Ihsan fajriyanto,2021-01-14T14:03:35.476Z,Danau Emtofe,Papua
Papua,5,Dinan Dibax,2021-01-11T03:50:33.470Z,Danau Emtofe,Papua
"Danaunya indah banget, 🥰 dikelilingi bukit savana, ada beberapa jalan dan  jembatan yang agak rusak tapi its ok😊 bisa terbayar dengan keindahannya.",4,Bety Lestari,2021-01-10T01:07:33.886Z,Danau Emtofe,Papua
"Tempatnya bagus enak buat santai, tapi perjalanan cukup jauh dengan rute yang menelusuri hutan",4,Morning-na Hunter,2020-11-24T22:02:40.107Z,Danau Emtofe,Papua
"Pemandangan menakjubkan ditengah kota jayapura
Tempatnya begitu tenang, asri, jauh dari keramaian kota, cocok untuk mencari ketenagan dan merilekskan badan. Saat disini rasa lelah, capek dan beban semua hilang. Yang ada hanya kagum akan keindahan danau yg biru yang dikelilingi hijaunya rumput dan pepohonan. Destinasi wajib kalau anda ke papua...

Amazing view in the middle of jayapura
It's so quiet, nice, far from the city hustle, it's good to relax and relax. It's all gone from here. All that remained was admiration for the beautiful blue lake surrounded by green grass and trees. Mandatory destination on your trip to Papua",5,Mulyo adi,2020-11-06T07:06:39.266Z,Danau Emtofe,Papua
Amazing ❤️,5,Yuni Reskiana Andi Amir,2020-10-24T12:15:42.317Z,Danau Emtofe,Papua
Jln kurang bagus msih byk yg jelek,1,Mohamad Khoderi,2020-10-05T01:34:06.073Z,Danau Emtofe,Papua
Danau imfote adalah surganya danau yg ada di papua,5,Hermank Psbonek86,2020-06-14T13:41:35.723Z,Danau Emtofe,Papua
"Tempat bagus apalagi klo pas siang langit biru bagus buat foto
Cuma sayang akses jalan menuju lokasi ada bbrp yg rusak dan tidak di perbaiki,kalau akses jalan SDH dperbaiki mgkn bisa bertambah kunjungan org ke danau love/telaga emfote",4,Rental Mobil Jayapura,2020-03-25T01:25:44.666Z,Danau Emtofe,Papua
"Ya keren tempatny,  sekaliny saya datang k papua lsg bisa lihat danu emfote",5,rina country,2020-03-05T07:49:45.545Z,Danau Emtofe,Papua
"Danau love ( em vote) telaga merupakan hati  dan  sangat misteri  tidak pernah mengalami pasang surut  air  nya , baik musim kemarau maupun musim hujan tidak mempengarui telaga tersebut.",5,Yan Ehaa,2020-02-29T21:43:54.649Z,Danau Emtofe,Papua
Mantab dan indah,3,N_B13 J_City,2020-01-10T11:18:08.288Z,Danau Emtofe,Papua
Cantik banget danaunya,5,Itsnain,2020-01-01T07:15:04.779Z,Danau Emtofe,Papua
👍👍👍,3,Abdulah Iha,2019-12-28T03:02:35.975Z,Danau Emtofe,Papua
Tempatnya nyaman,3,Bang Irlon28,2019-12-26T11:31:01.363Z,Danau Emtofe,Papua
Beautiful place on earth.,5,Dedy Ribka Mayor,2019-11-29T06:15:11.821Z,Danau Emtofe,Papua
Angin yg sejuk dan senja menyambut. Perpaduan yg pas,4,George Nugroho,2019-11-22T05:01:44.047Z,Danau Emtofe,Papua
Luar Biasa Mantaf view nya,5,CV PUTRA CENDERAWASIH,2019-11-21T12:43:28.633Z,Danau Emtofe,Papua
"Nice place, nice view 👍",5,Muhamad Brian,2019-11-17T06:09:39.345Z,Danau Emtofe,Papua
"Telaga Emfote atau dikenal dengan Danau Love, sempat hits dikalangan muda mudi MTMA Jayapura dan diliput.
Dari Kota Jayapura bisa ditempuh kurang lebih selama 1 jam dengan jarak 40km, berada di kampung Yokiwa.
Menuju kesini melalui berbagai macam akses jalan, mulai aspal mulus, semen (cor) sampai tanah tetapi tidak akan membosankan karena pemandangan juga beragam mulai tepian danau, perkampungan penduduk lokal hingga savana luas.
Untuk retribusi dikenakan 50rb per mobil, bentuk danau bukan hati sempurna melainkan hanya sudut pandang tertentu. Saat siang hari sangat panas, ada beberapa gazebo tetapi tidak ada pohon.",4,Nuh Yanti,2019-11-15T02:47:20.929Z,Danau Emtofe,Papua
Tempatnya sangat luar biasa.. Saran unt berkunjung ke tempat tsb saat pagi atau sore hari dan saat cuaca sedang cerah jgn lupa membawa minum..jgn buang sampah sembarangan yah disanamari kita jaga bersama kebersihan tempat wisata ditanah papua indonesia ini.. Selamat menikmati keindahan alam indonesia #akupapuaakuindonesia,4,eky putra164,2019-11-02T11:12:40.413Z,Danau Emtofe,Papua
"Great view, beatiful place, fresh air, blue sky, white cloud and relaxing your mind. Distance around 1,5 - 2 hours from Jayapura city. You will served by beautiful and exotic view Sentani lake, savana hill and traditional village. Unfortunately this place not have toilet, any two toilet but disfunction. Around the lake you can also hear wild sound from eagle or insect. If you lucky, you can see eagle flew around the lake and maybe cendrawasih bird. Enjoy!!",5,Raja,2019-08-16T12:19:24.853Z,Danau Emtofe,Papua
"Danaunya sangat unik...karena kita tidak akan menemukan dimanapun....bentuknya seperti hati (love)...pemandangannya indah penuh hamparan rumput....sayangnya untuk pergi ke tempat ini jalannya kecil....kalau ada dua mobil yg berlawanan akan sulit....fasilitasnya kurang....hanya ada satu tempat berteduh....kurang pemeliharaan....tapi jika kita sudah pernah ke sini kita akan merindukan datang kembali....
Saran saya datang ke sini pagi atau siang dan pulang jangan sampai gelap karena jalanan sepi.",4,Decy Kambu,2019-06-15T07:16:19.551Z,Danau Emtofe,Papua
