review_text,rating,author,date,nama desa wisata,provinsi
"Kesini juli 2022 dulu sama mantan baru upload sekarang, grgr ga sengaja buka google foto, tempatnya bagus, nyaman, bikin nostalgia wkwkw",5,Kanjeng Gamas Brajamusti,2025-12-10T09:03:36.703Z,Setu Babakan,DKI Jakarta
Keren,5,Jamilatul Khair,2025-12-07T10:45:16.914Z,Setu Babakan,DKI Jakarta
"Tempatnya sejuk, kesini hari biasa tidak terlalu ramai, untuk hari libur lumayan ramai, untuk parkiran mobil hari libur cukup jauh, makanannya enak ada laksa, toge koreng, soto mie, soto daging, kerak telor, dan jajanan yang lain, cocok mengajak keluarga santai kesini, rekomen",5,Hachi Februarindu,2025-12-03T04:11:06.809Z,Setu Babakan,DKI Jakarta
"Deket dr rumah, tp jalannya dibenerin doong..makin ancur pavingnya.",4,Maya Malahayati,2025-12-01T23:59:37.757Z,Setu Babakan,DKI Jakarta
Alhamdulillah tempat yang bagus buat liburan bareng keluarga...murah meriah...parkiran luas...akses mudah d jangkao....tertata rapi..keren 👍,5,Pacee Ilham Ramadhan,2025-12-01T02:38:19.831Z,Setu Babakan,DKI Jakarta
Nice place,5,Endang Sugiarto,2025-11-13T05:43:34.614Z,Setu Babakan,DKI Jakarta
Jagalah Kelestarian Lingkungan Budaya Betawi terutama Indonesia yg layak Menjadi Duta Dibumi Pertiwi,4,Yusfar Alam,2025-11-10T10:06:42.737Z,Setu Babakan,DKI Jakarta
"Cagar budaya Betawi yang cukup legenda
Banyak kulineran khas Betawi
Asik buat piknik
Adem
Sejuk
Wisata budaya asli betawi
Central adat istiadat Betawi

Serba Betawi
Soto
Biar pletok
Kue ape
Banyak lah...",5,mohammad subchi,2025-11-05T00:16:36.202Z,Setu Babakan,DKI Jakarta
"haloo semuanya, aku fitri aku mau bagikan moment bersama pasangan aku yang ganteng ini , kita waktu itu lagi coba aja si main di Setu seruuu bangettttt adem sejuk ❤️👋🏻",5,FITRI,2025-11-04T14:29:54.913Z,Setu Babakan,DKI Jakarta
Pas buat ajak anak edukasi fan mengenal adat betawian,5,Miss Rya,2025-11-04T03:43:45.028Z,Setu Babakan,DKI Jakarta
Sedep daah,5,Komar Udin,2025-10-27T14:27:18.047Z,Setu Babakan,DKI Jakarta
"Setu babakan tempatnya adem,tp syang hiburannya tertentu doang adanya,makanan murmerh",5,Rico Anah,2025-10-27T09:32:44.442Z,Setu Babakan,DKI Jakarta
"Tempat kedua makan diluar ^^
Di sini, adem banget duduk di bawah pohon. Sambil makan kerak telur.",5,ria meyliana,2025-10-20T14:45:03.988Z,Setu Babakan,DKI Jakarta
