review_text,rating,author,date,nama desa wisata,provinsi
"natural, sejuk mendekati dingin, tenang cuma perlu penataan parkir dan kebersihan",4,arisandy mahadaya,2024-01-22T13:18:01.980Z,Nagari Pariangan,Sumatera Barat
"Tempatnya sejuk, pemandangannya bagus, sayangnya pas datang habis hujan dan berkabut.",5,Septria Yanto,2024-01-19T11:39:58.853Z,Nagari Pariangan,Sumatera Barat
"Pemandangan yang begitu indah dan orang2 yang ramah,makanan dan minuman khas teh Talua dan kopi Kawa nya sangat enak",5,Gilang Fernando,2024-01-07T09:51:38.481Z,Nagari Pariangan,Sumatera Barat
"Di desanya ada tempat untuk bersantai dan melihat pemandangan, hanya saja akses jalannya cukup kecil jadi agak sulit diakses dengan menggunakan mobil",5,Rizkya Ramadhani,2024-01-01T08:11:01.795Z,Nagari Pariangan,Sumatera Barat
"Tempat ini bagus , untuk foto foto pemandangan nya bagus 👍👍",5,Haziq Latif,2023-12-30T10:29:49.895Z,Nagari Pariangan,Sumatera Barat
👍👍,5,Yad Rizal,2023-12-26T23:41:49.309Z,Nagari Pariangan,Sumatera Barat
"Nyaman sejuk asri,...",4,goenadi erlan,2023-12-25T08:50:56.754Z,Nagari Pariangan,Sumatera Barat
Desa yang sejuk nan indah klu ada penginapan yang suasana seperti ini alam desanya yang sangat asri dan sejuk....,5,Akhmad Sukri,2023-12-25T08:24:19.895Z,Nagari Pariangan,Sumatera Barat
"Tempatnya asyik, asri alam sawah. View sawah indah. Cuma cuaca agak HOT.",5,Don Juan,2023-12-24T08:01:52.509Z,Nagari Pariangan,Sumatera Barat
Disuguhkan pemandangan luar biasa sambil menikmati kawa daun,5,ZULFIKAR iJUNK,2023-12-16T20:25:57.023Z,Nagari Pariangan,Sumatera Barat
"Patut dikunjungi, sederhana tapi pesona pemandangan sangat memukai bagi orang kota",3,Yumei TranceForMindset,2023-12-15T09:04:50.349Z,Nagari Pariangan,Sumatera Barat
"pemandangan nya bagus, enak buat dinikmatin sambil minum kawa daun",5,Dewa Nugrahasuci,2023-12-12T04:45:27.559Z,Nagari Pariangan,Sumatera Barat
If I have the chance to stay here. Should  I.??,5,MeTime,2023-12-05T01:42:09.408Z,Nagari Pariangan,Sumatera Barat
nyaman bangat buat refreshing dan menjauh dari kebisingan,5,way fiddiyan,2023-12-04T14:45:22.478Z,Nagari Pariangan,Sumatera Barat
"Mau ngopy, ya disini aja, kopi kawa desa terindah",5,Atika Fajra,2023-11-29T04:22:42.062Z,Nagari Pariangan,Sumatera Barat
Pernah ke sini. Bagus sambil minum kawa.,5,Feni Efendi,2023-11-29T01:45:29.770Z,Nagari Pariangan,Sumatera Barat
"Desa dengan pemandangan indah, asri. Dan sangat nyaman.",5,Ahmad Salim Ridwan,2023-11-23T16:57:47.191Z,Nagari Pariangan,Sumatera Barat
"Desa dengan suasana yang nyaman, tentram.",5,Ahmad salim Ridwan,2023-11-22T14:25:17.490Z,Nagari Pariangan,Sumatera Barat
"Pemandangan yang sangat menarik, terutama dilihat dari Top View nya.",5,Janti Wierman Pamuntjak,2023-11-21T15:27:43.496Z,Nagari Pariangan,Sumatera Barat
"Desanya sejuk banget,,nyaman kali ada disini...",5,Arli Ramayeni,2023-11-19T08:42:00.135Z,Nagari Pariangan,Sumatera Barat
"Indah desa nya, persawahan yang tertata di lereng bukit...dan panorama alamnya perbukitan dan pergunungan....sambil menikmati kopi kawah daun...dan indomie telor pas pada cuaca yang sejuk dan menyegarkan....",5,SM MM 88,2023-11-18T13:39:47.322Z,Nagari Pariangan,Sumatera Barat
Amazing,5,nadiatul fadilla,2023-11-14T14:12:29.329Z,Nagari Pariangan,Sumatera Barat
"Pemandangan bagus bet, apalagi kalau langit lagi cerah gak ada obat siih. Cuma kalau malam dingiiin jadi harus bawa baju hangat yah kalau mau sampe malam disini, kawa nya juga rekom sih",4,Azlini,2023-11-11T16:18:13.555Z,Nagari Pariangan,Sumatera Barat
Indah sejuk dan menawan,5,Ismadi Achmad,2023-11-11T09:11:15.813Z,Nagari Pariangan,Sumatera Barat
