review_text,rating,author,date,nama desa wisata,provinsi
Bagus,5,Jojo nesar,2024-05-16T00:30:50.311Z,Desa Wisata Budo,Sulawesi Utara
"Bagus
Nikmat
Cocok",4,maz jay,2024-05-05T06:30:54.801Z,Desa Wisata Budo,Sulawesi Utara
Tempat wisata Paling asikk saat Sunset Dan Lebih enak Gasebo di sediakan Gratis untuk pengunjung ☺️🤩,5,Novi Karnoak,2024-04-21T12:38:39.570Z,Desa Wisata Budo,Sulawesi Utara
Gg skli dpe view sunset dg view malam😍😍😍,5,Sevlina E. Tando,2024-04-17T08:04:37.113Z,Desa Wisata Budo,Sulawesi Utara
Desa dengan agro wisata Mangrove,5,Welly Thomas,2024-04-17T05:45:11.200Z,Desa Wisata Budo,Sulawesi Utara
Harga masuk rp1000) . Klou hari minggu air surut enak jalan jalan di pinggir pantai,5,Ram Bo,2024-04-15T09:10:51.497Z,Desa Wisata Budo,Sulawesi Utara
Tepat yg tepat untuk berwisata dengan keluarga,5,Brayen Ayen,2024-04-10T10:17:30.472Z,Desa Wisata Budo,Sulawesi Utara
Cantik untuk bersantai2 karna ada jualan makanan ringannya juga,5,Yunita 037,2024-04-10T02:43:04.786Z,Desa Wisata Budo,Sulawesi Utara
"Sebenarnya suasana lingkungan lokasi masih asri dengan adanya pohon² mangrove yang dilindungi... sayang nya gazebo² yang tersedia cukup banyak, atapnya banyak berlubang sepertinya kurang perawatan dari pihak pengelola.",4,Londa Bondang,2024-03-02T09:29:00.744Z,Desa Wisata Budo,Sulawesi Utara
Melihatt sunsett yg sngat indahh dan pulau pulau yg ada di sana,4,Stela Makamanis,2024-03-02T07:40:15.765Z,Desa Wisata Budo,Sulawesi Utara
"Ada banyak kantin dgn berbagai pilihan menu tapi kita juga bisa bawa makanan dari luar & kita bisa duduk santai di pondok gratis yg sudah tersedia kursih & meja

Pemandangannya bagus !!!",5,feibi walintukan,2024-02-12T23:39:42.421Z,Desa Wisata Budo,Sulawesi Utara
