review_text,rating,author,date,nama desa wisata,provinsi
"Objek wisata yang harus dikunjungi kalau lagi di Raha. Danaunya indah dan menenangkan. Bisa buat piknik juga disini. Tapi waktu itu dateng pas lagi nggak banyak orang jadi tenang. Disediakan juga perahu buat yang ingin ke danau sebelahnya. yes… ada 2 danau dan terhubung satu sama lain. Cuman waktu kesana airnya sudah naik jadi nggak bisa ke danau sebelahnya. Penghubung antara 2 danau ini ada terowongan kecil gitu yang bisa dilewati perahu kalau air belum naik. Selain itu, ada juga jalan menuju pantai di balik danau. Jalan ini juga harus ditempuh dengan perahu. Tarif sewanya waktu itu 30rb per perahu.",4,Izayees,2022-06-12T06:44:14.652Z,Danau Napabale,Sulawesi Tenggara
Semenisasi,3,Idhan Sufirman,2022-05-22T22:31:10.137Z,Danau Napabale,Sulawesi Tenggara
"Tempatnya sangat cocok untuk berlibur bersama keluarga besar,. Dan juga teman².",5,La Kadimu,2022-05-11T14:52:23.835Z,Danau Napabale,Sulawesi Tenggara
😍,4,Resi Yulianti Rafiuddin,2022-05-05T02:27:04.655Z,Danau Napabale,Sulawesi Tenggara
"Tempat bersantai dan menenangkan. Datanglah ketika hari kerja, karena hari libur pasti ramai pengunjung",4,Eman Rubianto,2022-04-18T10:09:32.350Z,Danau Napabale,Sulawesi Tenggara
Sangat indah pemandangannya dan sangat mudah di jangkau. KALAU ANDA KE RAHA TIDAK KETEMPAT INI RUGI BESAR HEHEHE,5,mulia sipala,2022-04-12T05:16:11.897Z,Danau Napabale,Sulawesi Tenggara
asyik,5,MUHAMMAD FERI INDRAWAN,2022-01-06T08:12:58.627Z,Danau Napabale,Sulawesi Tenggara
Nice place,4,ADyREzzz,2021-12-16T04:15:25.995Z,Danau Napabale,Sulawesi Tenggara
a salt water lake. connected to open sea by the cave. boat men could give you a ride through the cave. the cost is affordable. recommended place to visit.,5,Local adventurers from Tangsel,2021-07-13T10:18:27.642Z,Danau Napabale,Sulawesi Tenggara
"Sangat menarik,pemandangan nya memukau",1,Suparman Arman,2021-05-21T02:07:44.157Z,Danau Napabale,Sulawesi Tenggara
Terowongan napabale yang selalu mengundang rasa penasaran,5,Hamka Thahir,2021-04-28T19:38:33.343Z,Danau Napabale,Sulawesi Tenggara
"Tempatnya bagus kyk d film2 indiana jones..dr danau k pantai menggunakan perahu, klo air surut bisa lwtin goa nya jg di sore hari
Hanya syg harga perahunya berubah2, deal hrga sebelum naik, pas turun harga naik lg.",4,andi ashar,2021-03-29T22:58:52.224Z,Danau Napabale,Sulawesi Tenggara
"Destinasi liburan yang bagus, banyak spot foto juga buat yang suka foto²",5,Kartika Cindia,2021-01-25T05:14:09.586Z,Danau Napabale,Sulawesi Tenggara
Keren banget gan,5,Anak bawang,2021-01-08T13:55:46.900Z,Danau Napabale,Sulawesi Tenggara
"Pantai Napabale sangat luar biasa cocok untuk liburan bersama keluarga, air nya jernih...pokoknya rekomendit tdk mengecewakan 👍👍👍👍",5,Saiful 18,2020-12-31T11:07:44.406Z,Danau Napabale,Sulawesi Tenggara
"Danau perpaduan air tawar n asin, melewati terowongan goa yg bisa tembus ke laut lepas dgn pasir putihnya,, dari atas puncaknya pun tak kalah kereennyaa sdh ada jalan stapak utk kepuncaknya",5,Isra Febrianti,2020-12-20T14:25:26.674Z,Danau Napabale,Sulawesi Tenggara
Pemandanganx sangat indah...,3,Muhammad Zuhur Muhammad Zuhur,2020-07-19T13:01:37.858Z,Danau Napabale,Sulawesi Tenggara
Danau Napabale luar biasa indah,4,Rys _12,2020-03-02T14:36:08.600Z,Danau Napabale,Sulawesi Tenggara
Bagus,5,Adhy Ady,2020-01-23T11:11:06.639Z,Danau Napabale,Sulawesi Tenggara
