review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Baguss,,",bagus,bagus,Kampung Ketupat,Kalimantan Selatan
"Keren sih tempatnya. Tp klo hrs byr 20k per orang saat weekend, kyknya agak kemahalan yaa. Bayangin misal ada keluarga dgn3 orang anak mau santai malam mingguan hrs ngrogoh kocek 100 ribu buat masuknya aja. Belum buat makan dan minumnya.  Saya aja kesini pas ada event masuk gratis. Pakai syarat follow IG dan koment dipostingannya.

Jam buka 10-22. Tapi paa kesana jam 10 lewat, baru 1 atau 2 aja yg buka. Trs yg jaga loket juga gak tau kalau ada promo gratis masuk.

Alhamdulillah, pas berkeliling keliling lokasi lumayan menyenangkan. Semoga bisa terus dirawat. Pengen banget sebenarnya, kesana pas malam hari. Kyknya bakalan semakin keren krn banyak lampu hiasan z.",keren tempatnya kalo byr kak weekend kayaknya kemahalan bayangkan keluarga anak santai malam mingguan ngrogoh kocek ribu masuknya makan minumnya kesini pas event gratis pakai syarat follow ig komentar dipostingannya jam buka paa kesana jam buka jaga loket tau promo gratis alhamdulillah pas berkeliling keliling lokasi lumayan menyenangkan semoga dirawat pengin banget kesana pas malam kayaknya keren lampu hiasan,keren tempat kalo byr kak weekend kayak mahal bayang keluarga anak santai malam minggu ngrogoh kocek ribu masuk makan minum kesini pas event gratis pakai syarat follow ig komentar dipostingannya jam buka paa kesana jam buka jaga loket tau promo gratis alhamdulillah pas keliling keliling lokasi lumayan senang moga rawat pengin banget kesana pas malam kayak keren lampu hias,Kampung Ketupat,Kalimantan Selatan
Viw nya cantik tp agak sepi. Gabisa bawa makanan dari luar. Jadi kalo mau punya acara ultah kecil2 an kayaknya gabisa deh. Padahal di dalem makanan nya ga rekomendet bgt,viw cantik sepi bawa makanan kalo acara ultah an kayaknya dalem makanan rekomendet banget,viw cantik sepi bawa makan kalo acara ultah an kayak dalem makan rekomendet banget,Kampung Ketupat,Kalimantan Selatan
Salah satu tempat wisata di Banjarmasin,salah wisata banjarmasin,salah wisata banjarmasin,Kampung Ketupat,Kalimantan Selatan
Banyak pembuat ketupat di sini,pembuat ketupat,buat ketupat,Kampung Ketupat,Kalimantan Selatan
Bagus,bagus,bagus,Kampung Ketupat,Kalimantan Selatan
"Tmptnya lumayan bgus tuk fto""..sntai""..ga blh bwa mknn dn mnumn hrus bli ddlm area..tiket cm 5rb per org..tuk mknn mnumn ckup mrogoh kocek..trllu mhal..biar rame pngunjung hrga mknn mnumn tlong disesuaikn ajalh",tmptnya lumayan bagus foto sntai bwa mknn mnumn beli area tiket ribu mknn mnumn mrogoh kocek trllu mhal biar rame pngunjung hrga mknn mnumn tlong disesuaikn ajalh,tmptnya lumayan bagus foto sntai bwa mknn mnumn beli area tiket ribu mknn mnumn mrogoh kocek trllu mhal biar rame pngunjung hrga mknn mnumn tlong disesuaikn ajalh,Kampung Ketupat,Kalimantan Selatan
"Kesini biaya masuk kemaren cuma Rp. 5.000, anak di bawah 5 tahun gratis.

Tempatnya ikonik, bersih, ada jual makanan juga, spot foto bagus.

Mungkin bisa ditingkatkan lagi soal perawatan rumput-rumput liarnya.",kesini biaya kemarin rp anak tahun gratis tempatnya ikonik bersih jual makanan spot foto bagus ditingkatkan perawatan rumput rumput liarnya,kesini biaya kemarin rp anak tahun gratis tempat ikonik bersih jual makan spot foto bagus tingkat awat rumput rumput liar,Kampung Ketupat,Kalimantan Selatan
"Gak pernah msk k sini, cuman makan bakaran aja di warung seberang jalan 🤭",kak cuman makan bakaran warung seberang jalan,kak cuman makan bakar warung seberang jalan,Kampung Ketupat,Kalimantan Selatan
Biasa saja tidak ada yang menarik,menarik,tarik,Kampung Ketupat,Kalimantan Selatan
"tempatnya bagus, adem, cuman mulai dtumbuhi bnyak rumput, harus d bersihkan secara berkala",tempatnya bagus adem cuman dtumbuhi rumput bersihkan berkala,tempat bagus adem cuman dtumbuhi rumput sih kala,Kampung Ketupat,Kalimantan Selatan
"Sangat mnyenangkan berkunjung dikampung ketupat , lingkungan bersih dan enak untuk nongkrong bersama keluarga🫶🏻🥰",mnyenangkan berkunjung dikampung ketupat lingkungan bersih nongkrong keluarga,mnyenangkan kunjung kampung ketupat lingkung bersih nongkrong keluarga,Kampung Ketupat,Kalimantan Selatan
Tambahin lagi arena bermain mya Biar Tidak sia sia tempat bermain dan Hiburanya,tambahkan arena bermain mya biar sia sia bermain hiburanya,tambah arena main mya biar sia sia main hiburanya,Kampung Ketupat,Kalimantan Selatan
harga masuk terjangkau dengan voucher 5.000 dan pemandangannya juga indah💗💗💗💗💗,harga terjangkau voucher pemandangannya indah,harga jangkau voucher pandang indah,Kampung Ketupat,Kalimantan Selatan
"Tempat bagus nyaman juga, hanya saja di WC tidak ada cermin dan juga tidak bisa membawa makanan luar ke dalam. Tapi makanan yang di jual di dalam juga sudah banyak dan enak.",bagus nyaman wc cermin membawa makanan makanan jual,bagus nyaman wc cermin bawa makan makan jual,Kampung Ketupat,Kalimantan Selatan
"Tempatnya cukup nyaman, banyak tempat untuk berteduh dan santai. Cocok jika datang bersama keluarga besar, atau bisa dijadikan sebagai referensi tempat wisata untuk memperkenalkan budaya Banjar.",tempatnya nyaman berteduh santai cocok keluarga dijadikan referensi wisata memperkenalkan budaya banjar,tempat nyaman teduh santai cocok keluarga jadi referensi wisata kenal budaya banjar,Kampung Ketupat,Kalimantan Selatan
Sekarang harganya lebih murah cuma 5 rb bisa nongkrong cantik dikampung ketupat. Makanan dan minuman nya enak2 semua. Oke lah,harganya murah ribu nongkrong cantik dikampung ketupat makanan minuman oke,harga murah ribu nongkrong cantik kampung ketupat makan minum oke,Kampung Ketupat,Kalimantan Selatan
