review,review_text,rating,author,date,nama desa wisata
tempat yg asik buat out bond,Tempat yg asik buat out bond,5,Enggar Kurniawan,2024-11-12T00:52:23.446Z,Pulesari
lumayan bagus area parkir luas saran outbound jg tersedia untuk menginap juga ada,Lumayan bagus area parkir luas saran outbound jg tersedia untuk menginap juga ada,4,Ris Anto,2024-10-30T10:22:01.506Z,Pulesari
desa wisata pulesari sangat cocok untuk wisata edukasi,Desa wisata pulesari sangat cocok untuk wisata edukasi,1,Sudarsono Sudarsono,2024-10-19T13:54:44.195Z,Pulesari
desa wisata pulosari,Desa wisata pulosari,5,Dede ardiansyah Putra,2024-09-19T08:17:21.452Z,Pulesari
desa wisata yg sejuk cocok bgt bt outbond,Desa wisata yg sejuk cocok bgt bt outbond,5,Lies rosanita Khomas,2024-09-11T03:00:22.682Z,Pulesari
bagus untuk bermain anak,Bagus untuk bermain anak,5,hendrawan hen,2024-09-04T03:26:27.151Z,Pulesari
tempatnya seru pengelolanya juga baik acara di dampingi dari awal sampai akhir,"Tempatnya seru..
Pengelolanya juga baik..
Acara di dampingi dari awal sampai akhir",5,widha tyas,2024-09-01T13:06:44.772Z,Pulesari
mantap rekomendasi yang pas untuk kegiatan outbond dan bisa memilih paket bisa petik salak juga,"Mantap, rekomendasi yang pas untuk kegiatan outbond dan bisa memilih paket. Bisa petik salak juga",5,Novita dwi susanti,2024-08-25T07:12:58.869Z,Pulesari
bagus dan asri,Bagus dan Asri,5,Soegeng Wijadi,2024-08-20T04:11:49.967Z,Pulesari
seru sekali dengan mc yg super bikin ketawa,Seru sekali dengan mc yg super bikin ketawa,5,Alfi Rosyid,2024-08-10T12:58:24.551Z,Pulesari
tempat wisata yang asri dan asyik banyak wahana permainan di air yang bikin permainan jadi lebih seru,Tempat wisata yang asri dan asyik. Banyak wahana permainan di air yang bikin permainan jadi lebih seru,5,Lulu Innafisah,2024-08-07T15:31:27.177Z,Pulesari
