review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Potensial berkembang, asal jangan asalan mengembangkannya...ekosistem terumbu karang hanya berjaran beberapa puluh meter dr pantai..

Rehabilitasi terumbu karang menggunakan sistem modul beton atau menggunakan rubble shg ke depannya terlihat alami",potensial berkembang asalan mengembangkannya ekosistem terumbu karang berjaran puluh meter pantai rehabilitasi terumbu karang sistem modul beton rubble shg depannya alami,potensial kembang asal kembang ekosistem terumbu karang jaran puluh meter pantai rehabilitasi terumbu karang sistem modul beton rubble shg depan alami,Kunjir,Lampung
"Kebersihannya tolong ditingkatkan lagi, kasihan pantainya 😔",kebersihannya tolong ditingkatkan kasihan pantainya,bersih tolong tingkat kasihan pantai,Kunjir,Lampung
"Suasana pantai kurang, terkesan kumuh tdk terurus.",suasana pantai terkesan kumuh terurus,suasana pantai kes kumuh urus,Kunjir,Lampung
Viewnya sangat bagus..,viewnya bagus,viewnya bagus,Kunjir,Lampung
"Tempatnya indah, dan ada satu warung bakso mie ayam yg menurut saya terbaik disitu.
Tapi sekarang jadi berdebu karna sedang proyek pengedaman sepanjang pesisir",tempatnya indah warung bakso mie ayam terbaik disitu berdebu proyek pengedaman pesisir,tempat indah warung bakso mie ayam baik situ debu proyek kedam pesisir,Kunjir,Lampung
"Tempat bagus tapi sayang sedang ada pembangunan penahan ombak..
Mau istirat di cancel karena jalanan berdebu akibat lalu lalang mobil truck pembawa material proyek...
Setelah selesai masih tetap akan jadi Tempat yang bagus dengan view krakatau.
Next akan datang lagi",bagus sayang pembangunan penahan ombak istirat cancel jalanan berdebu akibat lalang mobil truck pembawa material proyek selesai bagus view krakatau next,bagus sayang bangun tahan ombak istirat cancel jalan debu akibat lalang mobil truck bawa material proyek selesai bagus view krakatau next,Kunjir,Lampung
Jalannya banyak lumpur merah tmpt wisata jga ga terawat  tidak ada kuliner pokoknya nyesel ksitu.,jalannya lumpur merah wisata terawat kuliner pokoknya menyesal kesitu,jalan lumpur merah wisata awat kuliner pokok sesal kesitu,Kunjir,Lampung
Ok,ok,ok,Kunjir,Lampung
Pengalaman yang tak pernah terlupakan,pengalaman terlupakan,alam lupa,Kunjir,Lampung
"Masyaa Allah , suka banget ke desa ini , sepanjang jalan disuguhi pantai yang bagus bagus , selain itu juga terlihat gunung dan bukit bukit hijau yang memanjakan mata ,  ga nyesel kalo jalan jalan ke sini padahal udah berkali kali dan ga ada bosan . The best deh pokoknya",masyaa allah suka banget desa jalan disuguhi pantai bagus bagus gunung bukit bukit hijau memanjakan menyesal kalo jalan jalan berkali bosan the best pokoknya,masyaa allah suka banget desa jalan suguh pantai bagus bagus gunung bukit bukit hijau manja sesal kalo jalan jalan kali bosan the best pokok,Kunjir,Lampung
Pemandangannya indah,pemandangannya indah,pandang indah,Kunjir,Lampung
"Lumayan bagus tempatnya, dan bersih, biaya parkir dan kebersihan 10.000/mobil kalau mtor 5000/mtor, jd tidak dihitung jumlah orang,",lumayan bagus tempatnya bersih biaya parkir kebersihan mobil mtor mtor dihitung,lumayan bagus tempat bersih biaya parkir bersih mobil mtor mtor hitung,Kunjir,Lampung
"Pantainya bagus, dan sepi, cuma kalau sore sdh pasang, jd pasirnya hampir ketutup semua. Mungkin dtg pagi lebih bagus",pantainya bagus sepi sore pasang pasirnya ketutup pagi bagus,pantai bagus sepi sore pasang pasir tutup pagi bagus,Kunjir,Lampung
Toppp,toppp,toppp,Kunjir,Lampung
Pemandangannya bagus,pemandangannya bagus,pandang bagus,Kunjir,Lampung
Seru,seru,seru,Kunjir,Lampung
"Indah sekali, pemandangan yg alami",indah pemandangan alami,indah pandang alami,Kunjir,Lampung
Mntap bersih,mntap bersih,mntap bersih,Kunjir,Lampung
Indah,indah,indah,Kunjir,Lampung
Asik,asik,asik,Kunjir,Lampung
Lumayan untuk menghilangkan penat,lumayan menghilangkan penat,lumayan hilang penat,Kunjir,Lampung
Mantap,mantap,mantap,Kunjir,Lampung
"Desa wisata yang bersebelahan langsung dengan jalan pesisir kali anda
Akses yg sangat mudah di tempuh.",desa wisata bersebelahan jalan pesisir akses mudah tempuh,desa wisata bahan jalan pesisir akses mudah tempuh,Kunjir,Lampung
