review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Tempatnya enak nyaman buat santai,tempatnya nyaman santai,tempat nyaman santai,Setu Babakan,DKI Jakarta
"sayangnya becek karena habis hujan..
ramai banyak jajanan di sepanjang pinggir setu",sayangnya becek habis hujan ramai jajanan pinggir setu,sayang becek habis hujan ramai jajan pinggir setu,Setu Babakan,DKI Jakarta
"Setu Babakan terletak di Jl. M. Khafi II.

Langganan banget maen kesini, karena tiap minggu ada show ondel2. Terkadang klo lagi ada event Hajatan Jakarta atau lainnya juga rame ada bazaar & show.

Masuknya gratis, tinggal scan barcode dan isi Gform.
Anak2 seneng banget.

Tersedia mushola, toilet & gazebo2.
Toiletnya kurang terawat 🙏🏻.

Bisa maen ke setunya juga, ada delman juga bayar 35rb.",setu babakan terletak jl khafi ii langganan banget main kesini minggu show ondel terkadang kalo event hajatan jakarta rame bazaar show masuknya gratis tinggal scan barcode isi gform anak senang banget tersedia mushola toilet gazebo toiletnya terawat main setunya delman bayar ribu,setu babakan letak jl khafi ii langgan banget main kesini minggu show ondel terkadang kalo event hajat jakarta rame bazaar show masuk gratis tinggal scan barcode isi gform anak senang banget sedia mushola toilet gazebo toilet awat main setu delman bayar ribu,Setu Babakan,DKI Jakarta
Cagar budaya betawi dan mengenal budaya betawi.serta makanan khas betawi,cagar budaya betawi mengenal budaya betawi makanan khas betawi,cagar budaya betawi kenal budaya betawi makan khas betawi,Setu Babakan,DKI Jakarta
"Kesini juli 2022 dulu sama mantan baru upload sekarang, grgr ga sengaja buka google foto, tempatnya bagus, nyaman, bikin nostalgia wkwkw",kesini juli mantan upload gara-gara sengaja buka foto tempatnya bagus nyaman bikin nostalgia wkwkw,kesini juli mantan upload gara-gara sengaja buka foto tempat bagus nyaman bikin nostalgia wkwkw,Setu Babakan,DKI Jakarta
Keren,keren,keren,Setu Babakan,DKI Jakarta
"Tempatnya sejuk, kesini hari biasa tidak terlalu ramai, untuk hari libur lumayan ramai, untuk parkiran mobil hari libur cukup jauh, makanannya enak ada laksa, toge koreng, soto mie, soto daging, kerak telor, dan jajanan yang lain, cocok mengajak keluarga santai kesini, rekomen",tempatnya sejuk kesini ramai libur lumayan ramai parkiran mobil libur makanannya laksa toge koreng soto mie soto daging kerak telor jajanan cocok mengajak keluarga santai kesini rekomen,tempat sejuk kesini ramai libur lumayan ramai parkir mobil libur makan laksa toge koreng soto mie soto daging kerak telor jajan cocok ajak keluarga santai kesini rekomen,Setu Babakan,DKI Jakarta
"Deket dr rumah, tp jalannya dibenerin doong..makin ancur pavingnya.",rumah jalannya dibenerin hancur pavingnya,rumah jalan dibenerin hancur pavingnya,Setu Babakan,DKI Jakarta
Alhamdulillah tempat yang bagus buat liburan bareng keluarga...murah meriah...parkiran luas...akses mudah d jangkao....tertata rapi..keren 👍,alhamdulillah bagus liburan bareng keluarga murah meriah parkiran luas akses mudah jangkao tertata rapi keren,alhamdulillah bagus libur bareng keluarga murah riah parkir luas akses mudah jangkao tata rapi keren,Setu Babakan,DKI Jakarta
Nice place,nice place,nice place,Setu Babakan,DKI Jakarta
Jagalah Kelestarian Lingkungan Budaya Betawi terutama Indonesia yg layak Menjadi Duta Dibumi Pertiwi,jagalah kelestarian lingkungan budaya betawi indonesia layak duta dibumi pertiwi,jaga lestari lingkung budaya betawi indonesia layak duta bumi pertiwi,Setu Babakan,DKI Jakarta
"Cagar budaya Betawi yang cukup legenda
Banyak kulineran khas Betawi
Asik buat piknik
Adem
Sejuk
Wisata budaya asli betawi
Central adat istiadat Betawi

Serba Betawi
Soto
Biar pletok
Kue ape
Banyak lah...",cagar budaya betawi legenda kulineran khas betawi asik piknik adem sejuk wisata budaya asli betawi central adat istiadat betawi serba betawi soto biar pletok kue,cagar budaya betawi legenda kuliner khas betawi asik piknik adem sejuk wisata budaya asli betawi central adat istiadat betawi serba betawi soto biar pletok kue,Setu Babakan,DKI Jakarta
"haloo semuanya, aku fitri aku mau bagikan moment bersama pasangan aku yang ganteng ini , kita waktu itu lagi coba aja si main di Setu seruuu bangettttt adem sejuk ❤️👋🏻",haloo fitri bagikan moment pasangan ganteng waktu coba main setu seru banget adem sejuk,haloo fitri bagi moment pasang ganteng waktu coba main setu seru banget adem sejuk,Setu Babakan,DKI Jakarta
Pas buat ajak anak edukasi fan mengenal adat betawian,pas ajak anak edukasi fan mengenal adat betawian,pas ajak anak edukasi fan kenal adat betawian,Setu Babakan,DKI Jakarta
Sedep daah,sedep dah,sedep dah,Setu Babakan,DKI Jakarta
"Setu babakan tempatnya adem,tp syang hiburannya tertentu doang adanya,makanan murmerh",setu babakan tempatnya adem sayang hiburannya makanan murmerh,setu babakan tempat adem sayang hibur makan murmerh,Setu Babakan,DKI Jakarta
"Tempat kedua makan diluar ^^
Di sini, adem banget duduk di bawah pohon. Sambil makan kerak telur.",makan diluar adem banget duduk pohon makan kerak telur,makan luar adem banget duduk pohon makan kerak telur,Setu Babakan,DKI Jakarta
Gua sebagai orang Betawi kecewa berat dengan harga makanan yg asal nembak... terutama di sebelah timur...udah makanan kaga enak  ternyata yg jual bukan orang Betawi..pantesan asal tembak.. tolong di tindak penjual yg asal nembak bikin pengunjung sepi....,gua betawi kecewa berat harga makanan menembak sebelah timur makanan kagak jual betawi pantesan tembak tolong tindak penjual menembak bikin pengunjung sepi,gua betawi kecewa berat harga makan tembak belah timur makan kagak jual betawi pantesan tembak tolong tindak jual tembak bikin unjung sepi,Setu Babakan,DKI Jakarta
"Untuk piknik oke ada bebek2an,delman,bisa gelar tiker dibawah pohon rindang. Untuk olah raga oke klo keliling danau kurleb 4km bisa 5000an langkah. Untuk wisata kuliner okee bangett mau cari apa aja ada, bakso,mie ayam, soto betawi, soto mie, kerak telor, gado2, ketoprak, laksa, dll..pedagang grobakan juga banyak yang keliling.Untuk blajar kebudayaan betawi juga oke, ada museum dan panggung pertunjukannya. OKE bgt deh utk ajak keluarga.  Have Fun..",piknik oke bebek an delman gelar tiker dibawah pohon rindang olah raga oke kalo keliling danau kurleb an langkah wisata kuliner okee banget cari bakso mie ayam soto betawi soto mie kerak telor gado ketoprak laksa dll pedagang grobakan keliling belajar kebudayaan betawi oke museum panggung pertunjukannya oke banget ajak keluarga have fun,piknik oke bebek an delman gelar tiker bawah pohon rindang olah raga oke kalo keliling danau kurleb an langkah wisata kuliner okee banget cari bakso mie ayam soto betawi soto mie kerak telor gado ketoprak laksa dll dagang grobakan keliling ajar budaya betawi oke museum panggung tunjuk oke banget ajak keluarga have fun,Setu Babakan,DKI Jakarta
Good,good,good,Setu Babakan,DKI Jakarta
Tempatnya bagus tapi kadang airnya banyak daun² dan kita bisa menikmati setu sambil ngopi atau minum es degan masuk gratis tapi sepeda motor yng masuk atau hanya lewat kena restribusi  dan parkir bayar lagi..tapi ngak mahal juga masih wajar.,tempatnya bagus kadang airnya daun menikmati setu ngopi minum es degan gratis sepeda motor restribusi parkir bayar mahal wajar,tempat bagus kadang air daun nikmat setu ngopi minum es degan gratis sepeda motor restribusi parkir bayar mahal wajar,Setu Babakan,DKI Jakarta
"Enak tempatnya, cuma sayang danaunya kotor... Saya cuma makan aja sih, tapi ya itu aja danaunya kotor dan sepi... Makan di lesehan juga rasanya gaenak liat danau kotor... Ada larangan memancing jg banyak orang tidak taat aturan malah mancing di danau..",tempatnya sayang danaunya kotor makan danaunya kotor sepi makan lesehan gaenak danau kotor larangan memancing taat aturan mancing danau,tempat sayang danau kotor makan danau kotor sepi makan leseh gaenak danau kotor larang pancing taat atur mancing danau,Setu Babakan,DKI Jakarta
Taushiah agama Sabtu pagi 23 Agustus 2025,taushiah agama sabtu pagi agustus,taushiah agama sabtu pagi agustus,Setu Babakan,DKI Jakarta
Jalan nya rusak,jalan rusak,jalan rusak,Setu Babakan,DKI Jakarta
Tempat nya bagus tapi jalanan nya mohon untuk diperbaiki,bagus jalanan diperbaiki,bagus jalan baik,Setu Babakan,DKI Jakarta
Nyaman & Asri,nyaman asri,nyaman asri,Setu Babakan,DKI Jakarta
Bagus banget buat liat sunset 😍❤️,bagus banget sunset,bagus banget sunset,Setu Babakan,DKI Jakarta
ada tukang palaknya,tukang palaknya,tukang palak,Setu Babakan,DKI Jakarta
ikannya dikit pada sakit gigi,ikannya dikit sakit gigi,ikan dikit sakit gigi,Setu Babakan,DKI Jakarta
"Agak TRAUMA main kesini. Pertama kali main langsung kehilangan HP ada yang nyuri. Lebih tepatnya pas naik bebek²an, pas selesai baru nyadar HP hilang. Sempet curiga sama orang yang naik bebek²an selanjutnya bekas bebek yang saya naiki, soalnya aturannya 1x puteran langsung selesai, ini dia 3x muter ga selesai² kek lagi nunggu saya pergi dulu soalnya saya lagi nyari² di sekitar situ sekaligus mantau.

Terus saya minta deh petugas wahananya buat geledah orang itu dan apa yang petugasnya bilang ""abang periksa aja sendiri"", lah kata saya abang kan petugas tempat ini berarti abang dong yang punya otoritas/wewenang buat geledah orang dan itu wajar. Ini saya malah disuruh sendiri sedangkan saya cuma pengunjung yang ga punya otoritas buat geledah orang.

Saya udah pasrah aja HP itu hilang, toh gak akan kembali juga. Tapi mohonlah kerjasamanya buat para petugas wahana, mohon dibantu dengan sungguh² bukan sekedar pengumuman ada yang kehilangan aja. Atau minimal punya rasa empati. Orang tidak akan tahu bagaimana rasanya sebelum dia mengalami kejadian serupa. Kejadian ini juga jadi pelajaran buat saya yang kurang hati-hati dalam menjaga barang bawaan. Mana besoknya pengumuman hasil interview kerja, eh HP malah hilang.

Semoga kejadian serupa tidak terjadi lagi, dan buat yang ngambil HP saya semoga anda sadar. Kalau ada kesialan yang menimpa hidup anda, mungkin itu balasan atas perbuatan anda dan jawaban atas doa saya. Saya sempat terdiam, menghela nafas, dan berkata ""Ya Allah, sudah sedikit kah orang jujur di dunia ini, atau mungkin tidak ada?""

Ulasan ini saya buat bukan untuk menjelekkan tempat ini, saya hanya ingin mengingatkan semua orang supaya lebih berhati-hati dan semoga kejadian ini tidak terjadi lagi. BTW hilangnya HP saya udah 1+ bulan yang lalu. Baru share disini supaya dalam menyampaikan ulasan ini saya tidak asal bicara dan tidak atas kekesalan semata.",trauma main kesini main kehilangan hp nyuri tepatnya pas bebek an pas selesai menyadari hp hilang curiga bebek an bekas bebek naiki aturannya puteran selesai muter selesai kayak menunggu pergi mencari situ mantau petugas wahananya geledah petugasnya bilang abang periksa abang petugas abang otoritas wewenang geledah wajar disuruh pengunjung otoritas geledah pasrah hp hilang mohonlah kerjasamanya petugas wahana dibantu sungguh sekedar pengumuman kehilangan minimal empati mengalami kejadian kejadian pelajaran hati hati menjaga barang bawaan besoknya pengumuman hasil interview eh hp hilang semoga kejadian ngambil hp semoga sadar kesialan menimpa hidup balasan perbuatan doa terdiam menghela nafas allah jujur dunia ulasan menjelekkan berhati hati semoga kejadian btw hilangnya hp share ulasan bicara kekesalan,trauma main kesini main hilang hp nyuri tepat pas bebek an pas selesai sadar hp hilang curiga bebek an bekas bebek naik atur puter selesai muter selesai kayak tunggu pergi cari situ mantau tugas wahana geledah tugas bilang abang periksa abang tugas abang otoritas wewenang geledah wajar suruh unjung otoritas geledah pasrah hp hilang mohon kerjasamanya tugas wahana bantu sungguh dar umum hilang minimal empati alami jadi jadi ajar hati hati jaga barang bawa besok umum hasil interview eh hp hilang moga jadi ngambil hp moga sadar sial timpa hidup balas buat doa diam hela nafas allah jujur dunia ulas jelek hati hati moga jadi btw hilang hp share ulas bicara kesal,Setu Babakan,DKI Jakarta
"Manteb bener dahh dimarih... ngajak kluarga pegi sambil belajar budaya leluhur disni enak men, msih pda asri disni. Moga tetep lestari🙏",mantap dah dimarih mengajak keluarga pegi belajar budaya leluhur men asri moga lestari,mantap dah dimarih ajak keluarga pegi ajar budaya leluhur men asri moga lestari,Setu Babakan,DKI Jakarta
Enak banyak jajanan..sejuk..bisa mancing,jajanan sejuk mancing,jajan sejuk mancing,Setu Babakan,DKI Jakarta
"Tempatnya sangat asri, danau nya luas, banyak jajanan khas betawi",tempatnya asri danau luas jajanan khas betawi,tempat asri danau luas jajan khas betawi,Setu Babakan,DKI Jakarta
"Gua orang asli sini, udah lama gua gedek sama pedagang2 yg yg disini kalau ngasih harga engga ngotak. Udah kaya mau naik haji anjir
Kopi kapal api 8rb
Goodday 10rb
Tempat dulu rame sekarang sepi, tau kan penyebabnya apa??? Warung2 yg nge up harga bikin orang bakal males dateng ketempat ini.
Bukan soal tempatnya tapi pedagang nya yg bukin sepi",gua asli gua gedek pedagang mengasih harga ngotak kayak haji anjir kopi kapal api ribu goodday ribu rame sepi tau penyebabnya warung nge up harga bikin malas ketempat tempatnya pedagang bukin sepi,gua asli gua gedek dagang asih harga ngotak kayak haji anjir kopi kapal api ribu goodday ribu rame sepi tau sebab warung nge up harga bikin malas tempat tempat dagang bukin sepi,Setu Babakan,DKI Jakarta
"Waktu Kunjungan : Juli 2025
Karena ketidaktahuan, saya datang kesana hari Senin yg ternyata hari libur, tetapi pedagang masih banyak yg jualan, Andong juga masih banyak di pinggiran  setu.
Karena musim Hujan jadi pemandangan danau sangat syahdu.
Untuk pintu gerbang masuk klo tidak salah ada 2,
Jika melewati pintu yg terhubung dengan penduduk maka akan melewati sentra pembuatan ondel-ondel, dodol betawi, dan tentunya dengan harga yg terjangkau.",waktu kunjungan juli ketidaktahuan kesana senin libur pedagang jualan andong pinggiran setu musim hujan pemandangan danau syahdu pintu gerbang kalo salah melewati pintu terhubung penduduk melewati sentra pembuatan ondel ondel dodol betawi harga terjangkau,waktu kunjung juli ketidaktahuan kesana senin libur dagang jual andong pinggir setu musim hujan pandang danau syahdu pintu gerbang kalo salah lewat pintu hubung duduk lewat sentra buat ondel ondel dodol betawi harga jangkau,Setu Babakan,DKI Jakarta
"Adem,ayem,mantap",adem ayem mantap,adem ayem mantap,Setu Babakan,DKI Jakarta
Goo3,goo,goo,Setu Babakan,DKI Jakarta
Tepat buat refesing yg enk jajanan juga terjangkau dikantong,refesing jajanan terjangkau dikantong,refesing jajan jangkau kantong,Setu Babakan,DKI Jakarta
Setubabakan sangat bagus dan asri suasana nya,setubabakan bagus asri suasana,setubabakan bagus asri suasana,Setu Babakan,DKI Jakarta
keren tempatnya,keren tempatnya,keren tempat,Setu Babakan,DKI Jakarta
"Tempat wisata lokal dipinggir Jakarta Selatan
Tempatnya sangat strategis ditengah kota
Aman
Nyaman
Banyak kuliner tradisional Betawi
Cukup recommended
Silahkan biar gak penasaran",wisata lokal dipinggir jakarta selatan tempatnya strategis ditengah kota aman nyaman kuliner tradisional betawi recommended silakan biar penasaran,wisata lokal pinggir jakarta selatan tempat strategis tengah kota aman nyaman kuliner tradisional betawi recommended sila biar penasaran,Setu Babakan,DKI Jakarta
"Tolong itu yg suka minta karcis masuk ditertibkan, katanya setu babakan bebas pungli, tapi masih aja disetiap gerbang ada bapak2 yang minta uang tanda masuk.",tolong suka karcis ditertibkan setu babakan bebas pungli disetiap gerbang uang tanda,tolong suka karcis tertib setu babakan bebas pungli tiap gerbang uang tanda,Setu Babakan,DKI Jakarta
Adeeeem,adeeeem,adeeeem,Setu Babakan,DKI Jakarta
adem syahdu murah meriah,adem syahdu murah meriah,adem syahdu murah riah,Setu Babakan,DKI Jakarta
"Tempat wisata murah meriah di selatan jakarta. Bebas biaya. Banyak jajanan asli betawi, tapi ada juga jajanan jadul dan makanan2 lain yang layak dicoba. Tempat duduk tersedia lesehan dan juga meja+bangku sederhana. Harga masih wajar dan ok. Better siapin cash karena ga semua penjual ada QR utk pembayaran.",wisata murah meriah selatan jakarta bebas biaya jajanan asli betawi jajanan jadul makanan layak dicoba duduk tersedia lesehan meja bangku sederhana harga wajar ok better siapin cash penjual qr pembayaran,wisata murah riah selatan jakarta bebas biaya jajan asli betawi jajan jadul makan layak coba duduk sedia leseh meja bangku sederhana harga wajar ok better siapin cash jual qr bayar,Setu Babakan,DKI Jakarta
"terdapat danau dan kawasan rumah adat betawi. Di sekeliling danau banyak warung berbagai jenis makanan, antara lain soto betawi, kerak telor, kethoprak, bubur ayam, toge goreng dll",danau kawasan rumah adat betawi sekeliling danau warung jenis makanan soto betawi kerak telor kethoprak bubur ayam toge goreng dll,danau kawasan rumah adat betawi keliling danau warung jenis makan soto betawi kerak telor kethoprak bubur ayam toge goreng dll,Setu Babakan,DKI Jakarta
"Tempatnya adem, byk jajanan,dan disediakan bangku/lesehan tp danaunya rada kotor",tempatnya adem jajanan disediakan bangku lesehan danaunya rada kotor,tempat adem jajan sedia bangku leseh danau rada kotor,Setu Babakan,DKI Jakarta
Jalannya jelek bgt huft,jalannya jelek banget huft,jalan jelek banget huft,Setu Babakan,DKI Jakarta
"Jika ke Setu Babakan mainlah ke Museum Budaya Betawi, bermain dan belajar tentang sejarah dan budaya Betawi.
Kita akan mengenai lebih dekat dan serasa pergi ke masa Jakarta Tempo dulu yg sarat akan budaya yang penuh makna dan filosofi kehidupan.
Biaya masuknya pun gratis, tetap jaga kebersihan dan keindahannya.
Tapi jika mau cari makanan jangan mager/malas karena makanan banyak di tepi danau/situ nya
Di dalam museumnya juga ada permainan alat musik interaktif dari alat musik khas Betawi dengan notasi musik dari lagu-lagu Betawi",setu babakan mainlah museum budaya betawi bermain belajar sejarah budaya betawi serasa pergi jakarta tempo sarat budaya penuh makna filosofi kehidupan biaya masuknya gratis jaga kebersihan keindahannya cari makanan mager malas makanan tepi danau situ museumnya permainan alat musik interaktif alat musik khas betawi notasi musik lagu lagu betawi,setu babakan main museum budaya betawi main ajar sejarah budaya betawi serasa pergi jakarta tempo sarat budaya penuh makna filosofi hidup biaya masuk gratis jaga bersih indah cari makan mager malas makan tepi danau situ museum main alat musik interaktif alat musik khas betawi notasi musik lagu lagu betawi,Setu Babakan,DKI Jakarta
Sangat membantu,membantu,bantu,Setu Babakan,DKI Jakarta
Hp pop.,hp pop,hp pop,Setu Babakan,DKI Jakarta
Setu Babakan adalah suatu cagar Betawi yang amat bagus.. cuma infrastuktur jalan mesti diperbaiki.. dan tamanya juga bagus.. tidak adanya penanganan sampah,setu babakan cagar betawi bagus infrastuktur jalan mesti diperbaiki tamanya bagus penanganan sampah,setu babakan cagar betawi bagus infrastuktur jalan mesti baik tamanya bagus tangan sampah,Setu Babakan,DKI Jakarta
Cagar budaya yg harus dilestarikan,cagar budaya dilestarikan,cagar budaya lestari,Setu Babakan,DKI Jakarta
Kampung Betawi Setu babakan,kampung betawi setu babakan,kampung betawi setu babakan,Setu Babakan,DKI Jakarta
"Tempat yg asik buat nongkrong, Enjoy Jakarta #guebetawi",asik nongkrong enjoy jakarta guebetawi,asik nongkrong enjoy jakarta guebetawi,Setu Babakan,DKI Jakarta
"Tempatnya Penuh Memory Kenangan di Masa KeciL Kite dLu,,, 🤭🤭",tempatnya penuh memory kenangan,tempat penuh memory kenang,Setu Babakan,DKI Jakarta
penjaganya gabisa santai,penjaganya santai,jaga santai,Setu Babakan,DKI Jakarta
Bagus,bagus,bagus,Setu Babakan,DKI Jakarta
Rujak bebek,rujak bebek,rujak bebek,Setu Babakan,DKI Jakarta
"Gak worth it tempatnya, SANGAT KOTOR. Perasaan dulu ga ada tanah² disini deh kenapa sekarang digituin tanahnya? Malah nambah kesan KUMUH. Yang seharusnya pengunjung tidak membuang sampah di situ malah sebaliknya. Untuk pengelolaannya sangat BURUK. Jalanan banyak yang berlubang dan ada juga yang berlumpur, padahal masih satu kawasan juga, sudah bertahun² kenapa tidak diperbaiki??? Lalu banyak PUNGLI!! UDAH BAYAR TIKET MASUK MALAH SURUH BAYAR PARKIR JUGA. HADEHHH ANEH BANGET!",worth tempatnya kotor perasaan tanah dibegitukan tanahnya bertambah kesan kumuh pengunjung membuang sampah situ pengelolaannya buruk jalanan berlubang berlumpur kawasan bertahun diperbaiki pungli bayar tiket suruh bayar parkir hadehhh aneh banget,worth tempat kotor asa tanah begitu tanah tambah kesan kumuh unjung buang sampah situ kelola buruk jalan lubang lumpur kawasan tahun baik pungli bayar tiket suruh bayar parkir hadehhh aneh banget,Setu Babakan,DKI Jakarta
